id	ügyfélid	típusid	bejelentés	befejezés	fizetés	idő	anyagár
437	81	2	2018.12.03	2018.12.08	2018.12.09	2	10100
438	42	6	2018.12.06	2018.12.08	2018.12.08	3	7400
439	20	3	2018.12.06	2018.12.11	2018.12.11	2	4600
440	34	1	2018.12.09	2018.12.14	2018.12.18	2	4800
441	137	3	2018.12.09	2018.12.14	2018.12.16	3	4900
442	48	6	2018.12.09	2018.12.10	2018.12.12	3	4300
443	97	1	2018.12.10	2018.12.11	2018.12.13	1	3400
444	113	3	2018.12.11	2018.12.16	2018.12.19	3	4900
445	122	2	2018.12.13	2018.12.15	2018.12.15	3	3700
446	172	1	2018.12.14	2018.12.20	2018.12.24	2	2400
447	130	4	2018.12.17	2018.12.19	2018.12.21	2	200
448	161	2	2018.12.17	2018.12.22	2018.12.26	2	5500
449	165	2	2018.12.17	2018.12.24	2018.12.24	1	4200
450	93	3	2018.12.17	2018.12.18	2018.12.23	1	2900
451	46	5	2018.12.17	2018.12.24	2018.12.24	3	6200
452	82	4	2018.12.19	2018.12.20	2018.12.21	2	900
453	12	2	2018.12.19	2018.12.25	2018.12.25	2	11200
454	183	2	2018.12.22	2018.12.23	2018.12.23	1	6600
455	105	3	2018.12.24	2018.12.27	2019.01.01	2	1900
456	125	6	2018.12.24	2018.12.25	2018.12.27	3	13600
457	115	3	2018.12.24	2018.12.27	2018.12.28	1	2500
458	125	3	2018.12.24	2018.12.28	2018.12.28	3	2900
459	3	2	2018.12.25	2018.12.28	2018.12.28	1	11800
460	111	4	2018.12.25	2018.12.30	2019.01.03	2	400
461	77	3	2018.12.25	2018.12.31	2019.01.03	2	1800
462	33	2	2018.12.25	2018.12.26	2018.12.26	1	2200
463	184	6	2018.12.28	2018.12.30	2018.12.30	3	14400
464	131	6	2018.12.30	2019.01.01	2019.01.06	2	12600
465	142	3	2019.01.01	2019.01.06	2019.01.06	1	4300
466	23	6	2019.01.04	2019.01.11	2019.01.11	1	16800
467	165	1	2019.01.06	2019.01.10	2019.01.13	2	5300
468	180	5	2019.01.07	2019.01.11	2019.01.16	3	3900
469	44	5	2019.01.10	2019.01.12	2019.01.17	1	6400
470	161	3	2019.01.12	2019.01.14	2019.01.16	2	4600
471	26	3	2019.01.13	2019.01.15	2019.01.18	3	4200
472	190	3	2019.01.16	2019.01.20	2019.01.23	2	2000
473	2	2	2019.01.19	2019.01.23	2019.01.26	3	11900
474	109	4	2019.01.21	2019.01.22	2019.01.22	3	900
475	155	6	2019.01.21	2019.01.26	2019.01.30	1	12200
476	137	5	2019.01.23	2019.01.29	2019.02.03	3	6500
477	169	4	2019.01.24	2019.01.25	2019.01.25	1	0
478	166	1	2019.01.25	2019.01.27	2019.01.28	2	7200
479	193	4	2019.01.26	2019.01.28	2019.02.01	2	1300
480	128	4	2019.01.29	2019.01.31	2019.02.02	2	200
481	21	6	2019.01.31	2019.02.04	2019.02.05	3	11600
482	42	6	2019.02.02	2019.02.04	2019.02.06	2	4300
483	161	5	2019.02.04	2019.02.09	2019.02.09	3	4700
484	88	5	2019.02.06	2019.02.09	2019.02.09	3	3600
485	159	6	2019.02.08	2019.02.10	2019.02.14	3	18200
486	23	2	2019.02.08	2019.02.14	2019.02.17	2	4300
487	68	3	2019.02.10	2019.02.11	2019.02.11	1	1700
488	80	2	2019.02.13	2019.02.14	2019.02.15	3	9300
489	25	2	2019.02.15	2019.02.16	2019.02.20	1	9700
490	183	5	2019.02.15	2019.02.19	2019.02.21	1	3000
491	105	4	2019.02.17	2019.02.19	2019.02.19	1	100
492	17	1	2019.02.19	2019.02.26	2019.03.01	2	3400
493	181	1	2019.02.19	2019.02.21	2019.02.22	1	3100
494	81	4	2019.02.20	2019.02.22	2019.02.24	1	800
495	163	3	2019.02.20	2019.02.22	2019.02.25	2	1400
496	96	6	2019.02.23	2019.02.28	2019.03.05	2	18200
497	165	3	2019.02.26	2019.03.05	2019.03.08	1	2100
498	104	2	2019.03.01	2019.03.03	2019.03.03	1	10400
499	192	3	2019.03.02	2019.03.05	2019.03.05	3	4000
500	183	1	2019.03.03	2019.03.05	2019.03.10	3	5400
501	95	4	2019.03.05	2019.03.10	2019.03.15	3	0
502	108	3	2019.03.08	2019.03.09	2019.03.09	2	1200
503	76	3	2019.03.10	2019.03.17	2019.03.19	3	2500
504	45	1	2019.03.12	2019.03.17	2019.03.18	3	4900
505	22	1	2019.03.12	2019.03.18	2019.03.22	1	4800
506	185	5	2019.03.14	2019.03.16	2019.03.17	1	6400
507	160	6	2019.03.16	2019.03.20	2019.03.21	1	15700
508	193	3	2019.03.19	2019.03.23	2019.03.24	2	1100
509	161	2	2019.03.19	2019.03.22	2019.03.22	2	3500
510	126	1	2019.03.19	2019.03.23	2019.03.24	1	6300
511	33	4	2019.03.19	2019.03.20	2019.03.24	2	1000
512	93	5	2019.03.21	2019.03.24	2019.03.28	1	6000
513	67	4	2019.03.21	2019.03.24	2019.03.24	2	900
514	179	2	2019.03.22	2019.03.27	2019.04.01	3	5900
515	123	4	2019.03.25	2019.03.28	2019.04.02	2	1400
516	33	3	2019.03.26	2019.04.01	2019.04.01	1	1100
517	139	5	2019.03.29	2019.04.05	2019.04.08	1	3800
518	73	5	2019.03.31	2019.04.01	2019.04.01	1	3000
519	158	3	2019.03.31	2019.04.06	2019.04.06	3	2100
520	50	1	2019.03.31	2019.04.02	2019.04.02	3	7200
521	37	4	2019.03.31	2019.04.03	2019.04.05	2	1700
522	21	6	2019.04.03	2019.04.09	2019.04.10	1	11800
523	9	2	2019.04.05	2019.04.07	2019.04.12	2	2600
524	68	2	2019.04.06	2019.04.07	2019.04.10	2	10500
525	107	3	2019.04.07	2019.04.11	2019.04.12	3	2900
526	28	5	2019.04.09	2019.04.12	2019.04.16	2	7900
527	187	4	2019.04.11	2019.04.13	2019.04.15	2	600
528	97	6	2019.04.11	2019.04.14	2019.04.19	2	8400
529	66	1	2019.04.12	2019.04.15	2019.04.20	1	6800
530	26	4	2019.04.12	2019.04.15	2019.04.18	3	200
531	144	6	2019.04.14	2019.04.16	2019.04.18	3	17700
532	117	5	2019.04.16	2019.04.19	2019.04.19	2	5800
533	97	5	2019.04.18	2019.04.25	2019.04.26	3	7500
534	101	3	2019.04.18	2019.04.22	2019.04.25	2	1700
535	187	3	2019.04.21	2019.04.22	2019.04.27	2	2400
536	4	6	2019.04.22	2019.04.28	2019.04.30	1	5300
537	47	5	2019.04.23	2019.04.26	2019.04.26	3	4100
538	12	4	2019.04.24	2019.04.29	2019.05.01	3	300
539	13	4	2019.04.26	2019.04.28	2019.05.01	2	600
540	148	5	2019.04.29	2019.05.01	2019.05.01	2	7900
541	189	6	2019.04.30	2019.05.02	2019.05.02	2	15700
542	140	2	2019.05.03	2019.05.06	2019.05.11	1	6800
543	166	4	2019.05.03	2019.05.08	2019.05.08	2	400
544	185	6	2019.05.06	2019.05.08	2019.05.08	1	5800
545	44	2	2019.05.09	2019.05.14	2019.05.17	1	2300
546	37	4	2019.05.09	2019.05.10	2019.05.10	2	1800
547	102	5	2019.05.12	2019.05.17	2019.05.20	3	7700
548	57	3	2019.05.12	2019.05.14	2019.05.17	3	1000
549	78	1	2019.05.14	2019.05.18	2019.05.23	1	2800
550	97	4	2019.05.17	2019.05.18	2019.05.20	3	200
551	173	6	2019.05.17	2019.05.19	2019.05.24	2	11900
552	33	3	2019.05.17	2019.05.20	2019.05.25	1	3700
553	125	2	2019.05.20	2019.05.21	2019.05.24	3	10400
554	140	2	2019.05.21	2019.05.23	2019.05.25	3	11000
555	182	5	2019.05.23	2019.05.25	2019.05.27	1	7300
556	36	3	2019.05.24	2019.05.25	2019.05.30	3	2800
557	111	3	2019.05.27	2019.05.30	2019.05.30	2	3700
558	69	6	2019.05.30	2019.06.01	2019.06.04	1	17900
559	62	3	2019.06.01	2019.06.06	2019.06.09	3	4700
560	27	5	2019.06.01	2019.06.08	2019.06.13	2	3000
561	185	4	2019.06.01	2019.06.03	2019.06.04	3	600
562	169	6	2019.06.01	2019.06.04	2019.06.08	1	15000
563	151	1	2019.06.03	2019.06.04	2019.06.04	1	4000
564	98	4	2019.06.05	2019.06.11	2019.06.14	2	500
565	191	6	2019.06.06	2019.06.12	2019.06.12	3	9500
566	45	4	2019.06.09	2019.06.10	2019.06.13	1	1900
567	47	4	2019.06.12	2019.06.13	2019.06.17	2	2000
568	6	3	2019.06.13	2019.06.16	2019.06.20	3	4400
569	181	4	2019.06.15	2019.06.18	2019.06.19	3	800
570	163	2	2019.06.15	2019.06.22	2019.06.26	2	5500
571	83	3	2019.06.16	2019.06.19	2019.06.20	3	3100
572	108	4	2019.06.18	2019.06.19	2019.06.21	1	300
573	136	1	2019.06.21	2019.06.22	2019.06.26	2	2600
574	19	4	2019.06.24	2019.06.27	2019.06.30	2	1700
575	147	1	2019.06.25	2019.06.28	2019.07.02	1	4700
576	144	2	2019.06.26	2019.07.02	2019.07.04	1	6400
577	147	1	2019.06.29	2019.07.04	2019.07.08	3	2800
578	196	6	2019.07.02	2019.07.06	2019.07.09	2	7100
579	147	1	2019.07.05	2019.07.08	2019.07.12	3	7200
580	156	5	2019.07.07	2019.07.14	2019.07.14	2	7300
581	119	1	2019.07.07	2019.07.09	2019.07.13	2	6800
582	45	1	2019.07.07	2019.07.10	2019.07.12	2	8000
583	187	1	2019.07.10	2019.07.13	2019.07.13	3	3600
584	55	4	2019.07.13	2019.07.15	2019.07.15	3	100
585	90	1	2019.07.16	2019.07.17	2019.07.20	2	4700
586	173	3	2019.07.17	2019.07.19	2019.07.19	1	2400
587	157	1	2019.07.17	2019.07.21	2019.07.26	1	5000
588	66	3	2019.07.17	2019.07.20	2019.07.20	1	2600
589	7	1	2019.07.19	2019.07.22	2019.07.26	3	4600
590	17	5	2019.07.21	2019.07.24	2019.07.24	1	4300
591	105	4	2019.07.22	2019.07.24	2019.07.26	1	700
592	129	2	2019.07.24	2019.07.29	2019.07.29	1	5100
593	112	6	2019.07.27	2019.07.31	2019.08.04	3	13200
594	71	5	2019.07.29	2019.08.02	2019.08.05	3	3600
595	69	2	2019.08.01	2019.08.04	2019.08.08	2	5600
596	109	6	2019.08.01	2019.08.02	2019.08.07	3	14000
597	102	5	2019.08.04	2019.08.11	2019.08.16	2	5400
598	159	6	2019.08.06	2019.08.07	2019.08.07	3	13100
599	169	1	2019.08.09	2019.08.11	2019.08.15	2	3200
600	182	4	2019.08.09	2019.08.10	2019.08.10	2	0
601	149	1	2019.08.10	2019.08.11	2019.08.15	1	2900
602	52	1	2019.08.10	2019.08.11	2019.08.13	2	3100
603	112	3	2019.08.10	2019.08.16	2019.08.19	2	4800
604	105	4	2019.08.11	2019.08.16	2019.08.18	2	300
605	126	6	2019.08.11	2019.08.13	2019.08.14	2	6500
606	137	3	2019.08.14	2019.08.21	2019.08.23	3	3300
607	42	5	2019.08.14	2019.08.17	2019.08.18	3	5000
608	104	6	2019.08.15	2019.08.17	2019.08.18	1	17800
609	149	1	2019.08.16	2019.08.17	2019.08.21	1	7400
610	115	5	2019.08.17	2019.08.20	2019.08.25	1	7600
611	136	3	2019.08.17	2019.08.24	2019.08.27	2	4600
612	150	6	2019.08.18	2019.08.22	2019.08.23	3	13200
613	175	6	2019.08.21	2019.08.22	2019.08.22	3	15600
614	96	5	2019.08.21	2019.08.27	2019.08.30	1	4800
615	7	6	2019.08.24	2019.08.26	2019.08.26	2	19600
616	121	5	2019.08.26	2019.08.30	2019.08.30	3	7100
617	128	1	2019.08.29	2019.08.31	2019.09.02	1	2900
618	187	4	2019.08.29	2019.09.01	2019.09.04	1	600
619	124	3	2019.08.31	2019.09.03	2019.09.03	2	2700
620	116	3	2019.08.31	2019.09.02	2019.09.04	1	2800
621	164	3	2019.08.31	2019.09.06	2019.09.09	2	2400
622	171	2	2019.08.31	2019.09.04	2019.09.09	2	11300
623	2	2	2019.09.03	2019.09.06	2019.09.08	3	11000
624	151	2	2019.09.05	2019.09.11	2019.09.14	3	11600
625	53	4	2019.09.07	2019.09.09	2019.09.09	2	1700
626	125	1	2019.09.10	2019.09.14	2019.09.17	2	6800
627	98	4	2019.09.11	2019.09.12	2019.09.17	3	1800
628	171	1	2019.09.14	2019.09.16	2019.09.19	3	5700
629	155	2	2019.09.16	2019.09.17	2019.09.17	1	11200
630	143	6	2019.09.18	2019.09.19	2019.09.23	2	19300
631	3	4	2019.09.20	2019.09.21	2019.09.25	2	1600
632	189	4	2019.09.23	2019.09.28	2019.09.29	2	1800
633	106	6	2019.09.26	2019.09.30	2019.10.04	3	7700
634	16	6	2019.09.27	2019.10.01	2019.10.06	2	6700
635	111	5	2019.09.29	2019.10.02	2019.10.02	1	3100
636	196	5	2019.09.30	2019.10.05	2019.10.08	2	3600
637	149	1	2019.10.02	2019.10.06	2019.10.11	3	5300
638	83	5	2019.10.04	2019.10.05	2019.10.06	1	5400
639	132	6	2019.10.04	2019.10.09	2019.10.11	3	17500
640	146	1	2019.10.06	2019.10.07	2019.10.07	2	7600
641	41	4	2019.10.08	2019.10.13	2019.10.18	1	1800
642	190	3	2019.10.08	2019.10.09	2019.10.11	3	3300
643	92	3	2019.10.08	2019.10.10	2019.10.12	1	3600
644	108	4	2019.10.09	2019.10.10	2019.10.10	2	500
645	33	4	2019.10.11	2019.10.15	2019.10.15	3	1000
646	148	6	2019.10.11	2019.10.12	2019.10.12	3	18500
647	35	1	2019.10.12	2019.10.18	2019.10.19	1	5200
648	118	2	2019.10.12	2019.10.18	2019.10.20	2	6300
649	13	4	2019.10.15	2019.10.17	2019.10.17	2	2000
650	114	2	2019.10.15	2019.10.18	2019.10.22	3	10000
651	76	1	2019.10.16	2019.10.23	2019.10.28	1	6900
652	170	4	2019.10.19	2019.10.21	2019.10.24	3	1800
653	178	2	2019.10.19	2019.10.21	2019.10.23	3	5900
654	56	3	2019.10.19	2019.10.26	2019.10.27	1	2600
655	45	4	2019.10.21	2019.10.28	2019.10.28	1	1200
656	138	3	2019.10.23	2019.10.28	2019.10.30	1	4700
657	68	2	2019.10.24	2019.10.29	2019.11.01	3	5700
658	12	1	2019.10.25	2019.10.30	2019.10.31	2	2300
659	24	5	2019.10.25	2019.10.30	2019.10.30	3	4600
660	114	6	2019.10.26	2019.10.27	2019.10.27	1	4500
661	174	1	2019.10.27	2019.10.28	2019.10.31	2	2100
662	99	2	2019.10.27	2019.10.28	2019.11.01	2	6800
663	107	6	2019.10.30	2019.11.01	2019.11.02	3	5400
664	73	3	2019.11.01	2019.11.03	2019.11.03	3	4500
665	61	3	2019.11.01	2019.11.04	2019.11.05	3	3000
666	45	4	2019.11.04	2019.11.07	2019.11.10	3	800
667	95	2	2019.11.05	2019.11.08	2019.11.10	3	11300
668	65	4	2019.11.08	2019.11.14	2019.11.18	3	1600
669	49	5	2019.11.10	2019.11.12	2019.11.16	3	3900
670	191	6	2019.11.11	2019.11.13	2019.11.15	2	12600
671	136	4	2019.11.14	2019.11.16	2019.11.16	2	200
672	100	2	2019.11.14	2019.11.16	2019.11.18	2	5500
673	195	2	2019.11.17	2019.11.23	2019.11.24	1	8000
674	12	4	2019.11.18	2019.11.19	2019.11.22	1	1800
675	82	2	2019.11.18	2019.11.20	2019.11.20	3	9100
676	53	1	2019.11.19	2019.11.20	2019.11.20	2	3600
677	114	5	2019.11.22	2019.11.26	2019.11.27	1	6000
678	188	3	2019.11.25	2019.11.26	2019.11.28	3	1000
679	19	6	2019.11.25	2019.11.30	2019.12.05	3	13000
680	85	1	2019.11.27	2019.12.03	2019.12.03	3	3000
681	76	1	2019.11.27	2019.12.03	2019.12.03	3	3900
682	42	5	2019.11.27	2019.11.30	2019.12.05	1	2900
683	62	5	2019.11.30	2019.12.07	2019.12.07	1	7300
684	78	6	2019.12.03	2019.12.10	2019.12.10	3	10200
685	194	1	2019.12.03	2019.12.06	2019.12.08	2	5000
686	7	6	2019.12.03	2019.12.08	2019.12.13	2	5400
687	166	2	2019.12.04	2019.12.07	2019.12.09	2	6800
688	173	4	2019.12.07	2019.12.09	2019.12.09	3	700
689	137	2	2019.12.07	2019.12.11	2019.12.15	3	8500
690	184	5	2019.12.08	2019.12.13	2019.12.14	3	2500
691	64	6	2019.12.10	2019.12.12	2019.12.13	3	7700
692	84	6	2019.12.13	2019.12.16	2019.12.21	1	16700
693	116	6	2019.12.15	2019.12.17	2019.12.20	3	17100
694	47	2	2019.12.15	2019.12.16	2019.12.21	2	5200
695	159	3	2019.12.15	2019.12.16	2019.12.21	1	4000
696	15	1	2019.12.16	2019.12.18	2019.12.19	2	2600
697	24	4	2019.12.16	2019.12.17	2019.12.20	1	1900
698	83	1	2019.12.18	2019.12.22	2019.12.22	2	6400
699	105	5	2019.12.19	2019.12.21	2019.12.26	1	3200
700	86	4	2019.12.20	2019.12.27	2019.12.31	3	500
701	12	1	2019.12.23	2019.12.25	2019.12.27	3	5200
702	93	1	2019.12.25	2019.12.26	2019.12.28	1	3900
703	186	1	2019.12.27	2019.12.29	2020.01.01	1	7000
704	174	4	2019.12.28	2019.12.31	2020.01.02	2	1900
705	188	2	2019.12.28	2019.12.29	2019.12.30	2	8700
706	164	1	2019.12.29	2020.01.05	2020.01.08	1	2100
707	20	2	2019.12.29	2020.01.02	2020.01.03	1	4000
708	147	3	2020.01.01	2020.01.03	2020.01.06	3	1100
709	80	5	2020.01.01	2020.01.03	2020.01.07	3	6700
710	60	2	2020.01.04	2020.01.07	2020.01.11	2	10000
711	89	3	2020.01.04	2020.01.09	2020.01.12	2	4100
712	22	4	2020.01.05	2020.01.07	2020.01.08	1	700
713	177	6	2020.01.08	2020.01.13	2020.01.17	3	10000
714	105	4	2020.01.08	2020.01.11	2020.01.12	2	300
715	21	6	2020.01.08	2020.01.09	2020.01.14	2	11900
716	22	4	2020.01.09	2020.01.10	2020.01.11	1	1100
717	184	1	2020.01.09	2020.01.13	2020.01.18	2	5400
718	65	3	2020.01.10	2020.01.17	2020.01.17	3	5000
719	123	1	2020.01.11	2020.01.18	2020.01.21	3	3400
720	17	2	2020.01.11	2020.01.18	2020.01.19	1	3500
721	32	1	2020.01.13	2020.01.16	2020.01.17	1	2000
722	85	6	2020.01.15	2020.01.18	2020.01.21	2	6400
723	10	1	2020.01.15	2020.01.20	2020.01.23	2	3600
724	147	3	2020.01.17	2020.01.21	2020.01.22	2	5000
725	141	6	2020.01.18	2020.01.21	2020.01.23	2	17000
726	164	5	2020.01.20	2020.01.21	2020.01.21	1	4500
727	60	4	2020.01.20	2020.01.22	2020.01.22	3	300
728	197	5	2020.01.20	2020.01.25	2020.01.25	1	2200
729	37	6	2020.01.23	2020.01.26	2020.01.30	2	6900
730	67	3	2020.01.24	2020.01.28	2020.01.30	2	3300
731	57	1	2020.01.26	2020.02.01	2020.02.01	3	6000
732	31	4	2020.01.28	2020.01.29	2020.02.01	1	1900
733	187	6	2020.01.28	2020.02.01	2020.02.02	3	4300
734	141	5	2020.01.30	2020.02.06	2020.02.08	2	7300
735	26	1	2020.02.02	2020.02.07	2020.02.10	1	7400
736	77	6	2020.02.05	2020.02.07	2020.02.11	2	15600
737	8	4	2020.02.05	2020.02.10	2020.02.13	2	300
738	47	3	2020.02.08	2020.02.09	2020.02.10	1	5200
739	1	5	2020.02.08	2020.02.09	2020.02.10	1	6600
740	64	4	2020.02.09	2020.02.12	2020.02.12	2	600
741	53	1	2020.02.09	2020.02.15	2020.02.19	3	5200
742	186	3	2020.02.12	2020.02.19	2020.02.20	3	2100
743	170	3	2020.02.12	2020.02.13	2020.02.17	2	1700
744	69	5	2020.02.12	2020.02.17	2020.02.21	3	3900
745	135	4	2020.02.14	2020.02.18	2020.02.20	3	1000
746	11	4	2020.02.14	2020.02.20	2020.02.23	2	1100
747	167	5	2020.02.14	2020.02.20	2020.02.25	2	5100
748	56	3	2020.02.17	2020.02.20	2020.02.20	1	1100
749	71	2	2020.02.17	2020.02.21	2020.02.24	2	5400
750	21	1	2020.02.17	2020.02.18	2020.02.19	2	4300
751	5	6	2020.02.18	2020.02.21	2020.02.22	3	5200
752	183	3	2020.02.19	2020.02.22	2020.02.26	1	1300
753	185	2	2020.02.19	2020.02.26	2020.02.29	2	5700
754	147	6	2020.02.21	2020.02.22	2020.02.25	1	13500
755	45	4	2020.02.22	2020.02.26	2020.02.26	1	1600
756	108	1	2020.02.25	2020.02.27	2020.03.03	2	2900
757	186	2	2020.02.26	2020.02.28	2020.03.01	3	4800
758	154	3	2020.02.27	2020.03.02	2020.03.03	3	1000
759	105	4	2020.03.01	2020.03.05	2020.03.08	1	400
760	51	1	2020.03.03	2020.03.09	2020.03.11	1	6100
761	25	6	2020.03.04	2020.03.08	2020.03.12	1	17000
762	77	6	2020.03.05	2020.03.08	2020.03.13	2	12300
763	187	2	2020.03.06	2020.03.09	2020.03.10	1	9000
764	152	3	2020.03.08	2020.03.12	2020.03.13	3	1800
765	78	4	2020.03.11	2020.03.14	2020.03.19	1	1300
766	149	6	2020.03.14	2020.03.16	2020.03.20	1	16500
767	48	5	2020.03.14	2020.03.16	2020.03.16	1	3900
768	178	2	2020.03.14	2020.03.17	2020.03.20	3	11100
769	96	4	2020.03.14	2020.03.20	2020.03.23	3	1700
770	164	2	2020.03.17	2020.03.24	2020.03.26	3	3100
771	117	5	2020.03.17	2020.03.19	2020.03.19	2	5300
772	196	4	2020.03.18	2020.03.19	2020.03.20	3	800
773	99	3	2020.03.19	2020.03.23	2020.03.28	1	3400
774	23	3	2020.03.20	2020.03.23	2020.03.26	1	4900
775	93	1	2020.03.20	2020.03.21	2020.03.24	3	4300
776	163	6	2020.03.22	2020.03.29	2020.04.02	1	5000
777	69	6	2020.03.24	2020.03.26	2020.03.29	2	16600
778	173	3	2020.03.26	2020.03.27	2020.04.01	2	4500
779	2	2	2020.03.28	2020.04.03	2020.04.04	2	2500
780	190	4	2020.03.29	2020.04.01	2020.04.03	3	1900
781	2	2	2020.04.01	2020.04.04	2020.04.07	1	9000
782	181	3	2020.04.02	2020.04.03	2020.04.03	1	4100
783	192	3	2020.04.04	2020.04.08	2020.04.13	2	3400
784	177	1	2020.04.07	2020.04.08	2020.04.13	2	2400
785	102	2	2020.04.08	2020.04.15	2020.04.16	2	6700
786	140	4	2020.04.11	2020.04.18	2020.04.18	2	500
787	114	1	2020.04.13	2020.04.17	2020.04.18	3	5000
788	192	1	2020.04.14	2020.04.19	2020.04.19	2	2200
789	100	1	2020.04.14	2020.04.19	2020.04.22	3	3500
790	7	6	2020.04.14	2020.04.19	2020.04.19	1	5400
791	31	5	2020.04.16	2020.04.19	2020.04.21	2	2100
792	61	3	2020.04.18	2020.04.20	2020.04.25	3	3100
793	180	2	2020.04.20	2020.04.25	2020.04.28	3	7400
794	77	1	2020.04.20	2020.04.26	2020.04.30	1	4100
795	48	4	2020.04.22	2020.04.25	2020.04.25	3	0
796	184	3	2020.04.24	2020.04.29	2020.04.29	1	4900
797	130	6	2020.04.26	2020.05.02	2020.05.03	1	11400
798	115	2	2020.04.28	2020.04.29	2020.04.29	3	11000
799	196	4	2020.05.01	2020.05.02	2020.05.03	1	1000
800	21	1	2020.05.02	2020.05.05	2020.05.05	2	6300
801	35	6	2020.05.03	2020.05.10	2020.05.13	3	16700
802	179	3	2020.05.04	2020.05.07	2020.05.11	2	1700
803	86	3	2020.05.06	2020.05.07	2020.05.12	3	4600
804	128	4	2020.05.07	2020.05.09	2020.05.11	1	100
805	170	1	2020.05.09	2020.05.11	2020.05.14	3	4800
806	9	5	2020.05.12	2020.05.14	2020.05.18	1	5100
807	108	4	2020.05.15	2020.05.22	2020.05.24	2	1700
808	29	6	2020.05.17	2020.05.24	2020.05.24	2	14700
809	68	4	2020.05.18	2020.05.22	2020.05.22	3	600
810	49	3	2020.05.19	2020.05.24	2020.05.29	2	2800
811	193	3	2020.05.20	2020.05.22	2020.05.25	2	1600
812	78	5	2020.05.21	2020.05.28	2020.05.28	2	5100
813	58	3	2020.05.21	2020.05.22	2020.05.26	3	3400
814	116	2	2020.05.22	2020.05.24	2020.05.29	2	8800
815	5	3	2020.05.22	2020.05.26	2020.05.27	2	2700
816	185	2	2020.05.25	2020.05.28	2020.06.01	2	12000
817	161	4	2020.05.28	2020.05.31	2020.06.05	3	1800
818	49	5	2020.05.28	2020.06.03	2020.06.06	2	2000
819	163	5	2020.05.28	2020.05.30	2020.06.02	3	6800
820	155	4	2020.05.28	2020.05.31	2020.06.02	2	600
821	175	4	2020.05.28	2020.06.04	2020.06.08	3	400
822	155	4	2020.05.31	2020.06.02	2020.06.02	3	1200
823	98	1	2020.05.31	2020.06.03	2020.06.08	1	7100
824	38	1	2020.05.31	2020.06.01	2020.06.01	3	2300
825	6	5	2020.06.01	2020.06.03	2020.06.03	1	3200
826	177	3	2020.06.01	2020.06.05	2020.06.10	1	5100
827	94	4	2020.06.02	2020.06.05	2020.06.06	1	1200
828	64	1	2020.06.02	2020.06.03	2020.06.04	2	4800
829	13	1	2020.06.04	2020.06.11	2020.06.13	3	4700
830	153	2	2020.06.05	2020.06.12	2020.06.15	1	5000
831	68	2	2020.06.07	2020.06.09	2020.06.14	3	8400
832	186	6	2020.06.07	2020.06.13	2020.06.18	3	6400
833	128	3	2020.06.09	2020.06.15	2020.06.19	3	2200
834	51	2	2020.06.10	2020.06.12	2020.06.16	3	2400
835	196	4	2020.06.10	2020.06.12	2020.06.14	3	1600
836	144	5	2020.06.11	2020.06.14	2020.06.14	2	7400
837	117	1	2020.06.13	2020.06.15	2020.06.19	2	2300
838	110	4	2020.06.14	2020.06.15	2020.06.15	3	1200
839	14	3	2020.06.14	2020.06.20	2020.06.21	3	5000
840	56	4	2020.06.14	2020.06.18	2020.06.18	1	1000
841	94	5	2020.06.14	2020.06.16	2020.06.20	2	2400
842	60	6	2020.06.17	2020.06.18	2020.06.22	3	14400
843	137	5	2020.06.19	2020.06.24	2020.06.26	3	6900
844	51	6	2020.06.19	2020.06.23	2020.06.28	2	13900
845	152	3	2020.06.19	2020.06.20	2020.06.25	3	4700
846	84	3	2020.06.20	2020.06.26	2020.06.28	1	5100
847	81	4	2020.06.23	2020.06.26	2020.06.26	2	2000
848	29	2	2020.06.23	2020.06.24	2020.06.27	1	7400
849	122	4	2020.06.26	2020.07.03	2020.07.03	2	0
850	181	6	2020.06.27	2020.06.30	2020.07.04	3	16000
851	129	1	2020.06.27	2020.06.30	2020.06.30	2	3600
852	140	3	2020.06.30	2020.07.01	2020.07.05	2	5000
853	118	3	2020.06.30	2020.07.03	2020.07.03	1	3100
854	113	6	2020.07.03	2020.07.06	2020.07.10	1	20000
855	184	1	2020.07.03	2020.07.04	2020.07.08	3	5100
856	168	4	2020.07.06	2020.07.13	2020.07.17	3	1400
857	21	6	2020.07.08	2020.07.10	2020.07.14	3	13900
858	172	2	2020.07.11	2020.07.13	2020.07.18	2	11300
859	81	1	2020.07.13	2020.07.19	2020.07.19	1	2900
860	1	5	2020.07.15	2020.07.22	2020.07.23	2	6300
861	179	3	2020.07.15	2020.07.18	2020.07.18	2	1800
862	192	6	2020.07.18	2020.07.23	2020.07.26	2	13300
863	77	5	2020.07.20	2020.07.22	2020.07.24	1	3900
864	47	2	2020.07.20	2020.07.27	2020.07.28	3	5300
865	51	1	2020.07.23	2020.07.26	2020.07.31	1	6000
866	177	5	2020.07.25	2020.07.27	2020.07.31	3	6800
867	108	1	2020.07.25	2020.07.29	2020.07.31	2	6500
868	194	6	2020.07.27	2020.07.29	2020.07.29	3	18800
869	56	1	2020.07.28	2020.07.31	2020.08.05	1	7900
870	42	2	2020.07.31	2020.08.04	2020.08.05	3	8600
871	32	5	2020.08.01	2020.08.02	2020.08.04	1	3000
872	57	6	2020.08.04	2020.08.11	2020.08.13	3	4200
873	196	5	2020.08.07	2020.08.12	2020.08.12	2	4400
